Dive #,Date (yyyy-mm-dd),Site,Location,Dive Type,Max depth (m),Average depth (m),Bottom Time,Total Time,Gas Mixture,Bottom temp (°C),Surface temp (°C),Vis (m),Current,Wetsuit thickness (mm),Weights (kgs),Tank Type,Buddies,Key Species,
147,2026-6-18,Keawlo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,18.6,,33,37,Air,26,26,4,Surge,5,3,Aluminum,Callum,Hawaiian green turtles,
148,2026-6-19,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,29.4,,20,27,Air,26,26,25,None,5,3,Aluminum,Callum,Hawaiian green turtles,
149,2026-6-19,"Kewalo Pipe, Horseshoe Reef, Secrets Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,18.2,,47,52,Air,28,28,25,None,5,3,Aluminum,Callum,Hawaiian green turtles,
150,2026-6-19,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training/Night dive,19.1,,21,27,Air,28,28,Dark/night,None,5,3,Aluminum,Ed,Hawaiian green turtles,
151,2026-6-21,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,30.0,20.0,12,19,Air,26,27,25,Light,5,3,Aluminum,Ed,Hawaiian green turtles,
152,2026-6-21,Kewalo pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,23.0,15.3,40,46,Air,27,27,20,None,5,3,Aluminum,Ed,"1x Frogfish, 3x Hawaiian green turtle",
153,2026-6-21,Kewalo Pipe ,"Honolulu, O'ahu, Hawai'i",Divemaster training,13.0,10.0,30,34,Air,26,26,15,None,5,3,Aluminum,Callum,Hawaiian green turtles,
154,2026-6-21,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,12.6,9.3,29,33,Air,26,26,15,None,5,3,Aluminum,Callum,Hawaiian green turtles,
155,2026-6-25,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,30.6,,27,35,Nitrox,27,27,20,Light,5,3,Aluminum,Ed,"1x Whitetip reef shark, 3x Moray eels, 2x Blue dragon nudi",
156,2026-6-25,"Kewalo Pipe, Horseshoe Reef, Secrets Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,18.4,,55,64,Air,27,27,15,Light,5,3,Aluminum,Ed,"2x Spinner dolphin, 2x Day octopus, 7x Hawaiian green turtle",
157,2026-6-26,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,14.5,,24,29,Air,28,28,15,None,5,3,Aluminum,Paige,,
158,2026-6-26,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,12.6,,20,25,Air,28,28,15,Surge,5,3,Aluminum,Paige,,
